size,material,color,sleeves,demand
3XL,linen,white,short,low
XS,linen,yellow,short,high
XXL,cotton,black,long,medium
XS,linen,white,long,high
S,nylon,green,long,medium
M,silk,black,short,low
L,linen,black,short,medium
M,cotton,yellow,short,high
XS,linen,white,long,high
S,nylon,black,short,medium
L,nylon,white,short,high
XL,polyester,red,short,high
XL,nylon,green,long,medium
L,polyester,blue,long,medium
3XL,nylon,cream,short,high
XXL,polyester,black,short,medium
XXL,polyester,black,long,medium
M,linen,black,short,medium
M,polyester,green,long,medium
L,polyester,white,long,high
L,nylon,navy,short,high
L,nylon,red,short,high
XXL,polyester,black,long,medium
XXL,polyester,black,short,medium
M,nylon,red,long,medium
XL,linen,white,long,medium
M,nylon,blue,short,high
L,nylon,cream,short,high
XXL,linen,green,long,medium
3XL,linen,black,long,low
M,cotton,black,short,medium
M,nylon,cream,long,medium
XS,linen,yellow,short,high
M,polyester,cream,short,high
L,linen,orange,long,high
S,nylon,black,long,medium
XXL,nylon,black,long,medium
XS,nylon,yellow,short,high
L,polyester,red,short,high
XS,polyester,red,long,high
S,linen,black,long,medium
XL,polyester,yellow,short,high
XL,nylon,white,long,low
XL,polyester,white,short,low
XXL,polyester,violet,short,high
M,nylon,white,short,medium
M,polyester,orange,short,high
XS,polyester,red,short,high
XL,nylon,yellow,short,high
S,linen,violet,short,high
3XL,linen,black,long,low
XXL,linen,cream,long,medium
XXL,cotton,blue,short,high
S,linen,navy,short,high
XL,polyester,green,short,high
M,polyester,navy,long,medium
L,linen,cream,long,high
XL,nylon,red,short,high
3XL,nylon,violet,short,medium
XXL,nylon,navy,long,medium
XL,nylon,yellow,long,medium
L,linen,black,long,medium
M,linen,orange,short,high
L,polyester,blue,short,high
XXL,nylon,cream,long,medium
XS,polyester,violet,short,high
XXL,polyester,orange,long,low
S,linen,navy,short,high
XL,linen,black,long,medium
XS,nylon,green,long,medium
L,nylon,navy,long,medium
XL,polyester,white,long,low
S,cotton,white,long,high
XS,nylon,cream,long,high
XL,linen,blue,long,high
3XL,polyester,cream,long,medium
S,polyester,navy,long,high
XL,cotton,cream,long,medium
M,polyester,white,short,medium
XXL,polyester,green,short,medium
XL,linen,yellow,short,high
XL,linen,orange,long,medium
L,nylon,cream,long,medium
XXL,linen,cream,long,medium
M,cotton,yellow,long,low
L,silk,navy,short,low
XXL,linen,white,short,medium
XL,cotton,white,long,medium
L,polyester,violet,short,high
M,nylon,black,long,medium
L,polyester,yellow,long,medium
3XL,polyester,cream,long,medium
XL,polyester,green,long,medium
XS,polyester,green,short,high
L,polyester,white,short,high
S,cotton,white,long,high
M,nylon,red,long,medium
XXL,polyester,black,long,medium
L,silk,black,short,low
S,linen,blue,short,high
XL,polyester,orange,short,high
L,nylon,black,short,medium
XS,linen,yellow,long,high
XXL,linen,blue,short,high
M,linen,blue,long,high
XL,nylon,blue,short,high
L,silk,violet,short,low
L,polyester,white,short,high
S,linen,white,short,high
L,linen,cream,long,high
XXL,nylon,blue,short,high
XL,cotton,violet,long,low
L,linen,orange,short,high
L,nylon,violet,long,medium
3XL,silk,white,long,low
3XL,linen,white,long,low
XS,linen,navy,short,high
M,cotton,blue,short,high
L,silk,orange,short,low
M,cotton,red,short,high
3XL,cotton,yellow,long,low
XL,linen,cream,short,high
L,polyester,violet,short,high
S,polyester,violet,long,high
L,nylon,navy,long,medium
M,nylon,violet,short,high
XXL,cotton,red,long,low
S,silk,orange,long,medium
3XL,nylon,black,short,medium
M,cotton,orange,long,low
S,polyester,navy,long,high
S,polyester,yellow,long,high
M,nylon,black,long,medium
XL,linen,yellow,long,medium
XL,polyester,green,short,high
L,nylon,white,long,high
XS,polyester,navy,long,high
L,polyester,violet,long,medium
L,nylon,white,long,high
XL,nylon,black,long,medium
M,polyester,red,long,medium
XL,nylon,yellow,short,high
L,polyester,yellow,long,medium
XL,nylon,blue,long,medium
L,polyester,orange,long,medium
XL,polyester,cream,short,high
S,nylon,cream,long,high
XS,polyester,yellow,short,high
XXL,cotton,black,short,medium
M,cotton,black,short,medium
L,linen,navy,short,high
S,linen,black,long,medium
XL,silk,black,short,low
3XL,nylon,violet,short,medium
L,cotton,blue,long,medium
XXL,cotton,white,short,medium
L,nylon,blue,short,high
L,nylon,cream,long,medium
XS,nylon,black,long,medium
S,nylon,navy,short,high
XS,nylon,cream,long,high
3XL,polyester,orange,long,low
XXL,nylon,navy,short,high
S,nylon,yellow,short,high
L,polyester,navy,long,medium
M,nylon,black,long,medium
S,linen,navy,long,high
XL,cotton,green,short,medium
XS,polyester,navy,short,high
S,nylon,navy,long,high
XL,linen,black,short,medium
XXL,linen,black,long,medium
M,silk,red,short,low
3XL,polyester,blue,long,low
XL,polyester,violet,long,medium
XXL,polyester,violet,short,high
XL,cotton,red,long,medium
XL,linen,white,long,medium
L,polyester,orange,short,high
L,silk,blue,short,low
XXL,linen,navy,short,high
M,cotton,white,short,high
L,polyester,yellow,short,high
XXL,polyester,navy,short,high
XL,polyester,white,short,low
XXL,nylon,blue,short,high
XXL,nylon,navy,short,high
L,nylon,white,short,high
L,nylon,cream,short,high
M,nylon,blue,short,high
M,polyester,yellow,long,medium
XS,linen,black,short,low
XXL,nylon,violet,long,low
S,cotton,black,short,medium
XL,cotton,navy,short,high
M,polyester,red,long,medium
M,cotton,black,long,medium
L,cotton,cream,long,medium
L,cotton,green,long,medium
XXL,polyester,white,long,low
L,polyester,yellow,long,medium
3XL,nylon,cream,long,medium
L,nylon,white,long,high
XL,cotton,black,long,medium
S,linen,black,short,medium
XS,nylon,black,long,medium
XL,cotton,white,short,medium
L,polyester,navy,long,medium
XS,nylon,green,short,high
S,linen,blue,long,high
XL,linen,cream,short,high
L,nylon,black,long,medium
L,polyester,black,short,medium
XL,cotton,cream,short,high
L,cotton,blue,long,medium
3XL,nylon,white,short,low
XL,cotton,navy,short,high
XL,polyester,white,long,low
XXL,cotton,red,long,low
XL,polyester,navy,short,high
XXL,polyester,blue,long,medium
L,nylon,white,long,high
S,nylon,red,long,high
L,polyester,cream,long,medium
M,cotton,orange,short,high
S,cotton,white,long,high
S,nylon,cream,long,high
M,linen,white,long,high
XL,polyester,black,long,medium
S,silk,violet,long,medium
3XL,linen,black,long,low
XS,polyester,black,short,medium
XXL,linen,white,long,medium
M,silk,black,long,low
XXL,nylon,navy,long,medium
XL,linen,white,long,medium
M,linen,white,short,high
L,nylon,white,short,high
XL,nylon,green,long,medium
XS,polyester,navy,short,high
XXL,cotton,black,short,medium
XL,polyester,white,long,low
XL,polyester,yellow,long,medium
XL,nylon,navy,long,medium
XS,nylon,red,short,high
XL,linen,violet,short,high
XXL,linen,orange,long,medium
L,polyester,white,short,high
S,nylon,navy,long,high
XXL,cotton,white,short,medium
XL,linen,black,short,medium
S,linen,white,short,high
S,cotton,green,long,medium
S,nylon,red,long,high
M,cotton,red,short,high
XS,silk,yellow,long,low
L,cotton,black,short,medium
XL,cotton,blue,short,high
S,cotton,black,long,medium
XL,nylon,cream,long,medium
3XL,polyester,cream,short,high
XL,polyester,navy,long,medium
XXL,cotton,white,short,medium
M,nylon,red,short,high
XL,nylon,black,long,medium
S,cotton,red,short,high
XS,linen,white,long,high
XS,polyester,white,short,medium
XL,nylon,orange,short,high
XXL,polyester,blue,long,medium
L,polyester,black,long,medium
M,polyester,cream,short,high
XXL,cotton,orange,long,low
3XL,nylon,blue,long,low
L,linen,white,long,high
L,nylon,green,short,high
S,nylon,cream,long,high
M,linen,black,long,medium
3XL,silk,green,short,low
XL,nylon,violet,long,medium
XL,nylon,violet,short,high
S,linen,black,long,medium
XXL,polyester,cream,long,medium
S,silk,black,long,low
L,linen,red,long,high
3XL,cotton,black,short,medium
3XL,nylon,black,short,medium
S,polyester,blue,long,high
XL,polyester,cream,short,high
XXL,polyester,yellow,short,high
XS,silk,blue,short,medium
L,linen,orange,long,high
S,nylon,cream,long,high
S,nylon,orange,long,high
3XL,silk,white,long,low
XS,silk,white,long,low
XS,nylon,black,long,medium
XL,polyester,green,short,high
M,linen,white,long,high
XS,cotton,violet,long,medium
3XL,polyester,black,long,medium
L,cotton,cream,short,high
XS,polyester,black,long,medium
3XL,cotton,yellow,long,low
M,nylon,cream,long,medium
XL,cotton,blue,long,medium
M,polyester,blue,long,medium
XL,polyester,cream,long,medium
XXL,nylon,black,short,medium
XS,cotton,navy,short,high
M,cotton,black,long,medium
L,nylon,blue,long,medium
M,polyester,black,long,medium
XS,linen,violet,short,high
S,polyester,navy,long,high
XXL,nylon,red,short,high
XS,polyester,red,long,high
M,nylon,green,short,high
S,nylon,black,short,medium
S,nylon,blue,short,high
XS,nylon,red,short,high
M,linen,navy,short,high
XXL,nylon,red,long,medium
L,polyester,white,short,high
S,cotton,white,long,high
3XL,linen,blue,long,medium
L,nylon,white,long,high
XXL,polyester,white,long,low
3XL,nylon,red,short,high
L,cotton,violet,short,high
3XL,cotton,cream,short,medium
L,silk,white,short,low
XL,linen,green,short,high
3XL,polyester,cream,short,high
XL,linen,blue,short,high
S,cotton,black,short,medium
M,cotton,orange,long,low
3XL,polyester,black,long,medium
L,nylon,violet,short,high
XL,nylon,navy,long,medium
XS,nylon,navy,short,high
3XL,silk,white,long,low
L,nylon,violet,short,high
3XL,polyester,violet,long,low
L,linen,white,long,high
M,linen,red,long,high
XS,polyester,green,short,high
S,nylon,white,long,medium
XL,cotton,white,short,medium
3XL,cotton,white,short,medium
XL,polyester,black,long,medium
3XL,polyester,black,short,medium
XL,linen,black,long,medium
L,polyester,orange,short,high
XL,polyester,white,long,low
XS,cotton,red,short,high
S,polyester,white,long,medium
S,polyester,white,long,medium
M,silk,black,long,low
M,nylon,yellow,long,medium
M,polyester,cream,short,high
M,polyester,black,short,medium
M,polyester,red,long,medium
XL,polyester,white,long,low
S,polyester,black,long,medium
XS,nylon,cream,short,high
L,cotton,navy,short,high
M,polyester,white,long,medium
S,cotton,green,long,medium
XS,linen,red,long,high
XL,silk,blue,long,low
XXL,polyester,red,short,high
S,silk,green,long,medium
L,polyester,white,long,high
L,linen,cream,short,high
M,linen,blue,short,high
XXL,linen,green,long,medium
XL,polyester,cream,short,high
L,cotton,blue,short,high
L,linen,cream,long,high
XL,polyester,green,short,high
M,nylon,blue,long,medium
M,linen,orange,long,medium
XXL,cotton,white,long,medium
S,cotton,navy,long,high
XL,linen,white,long,medium
XXL,nylon,black,short,medium
M,nylon,navy,short,high
L,polyester,blue,long,medium
S,nylon,blue,short,high
L,silk,black,long,medium
M,polyester,blue,short,high
XS,linen,cream,short,high
XXL,linen,navy,short,high
XS,polyester,violet,short,high
M,linen,yellow,short,high
L,polyester,black,long,medium
L,polyester,black,short,medium
M,nylon,cream,long,medium
XS,nylon,black,short,medium
XL,nylon,orange,short,high
M,cotton,cream,long,medium
XXL,nylon,yellow,short,high
3XL,silk,white,short,low
XL,polyester,white,long,low
XS,polyester,white,short,medium
XS,nylon,green,long,medium
XL,cotton,green,short,medium
XXL,polyester,black,short,medium
L,nylon,violet,short,high
M,polyester,blue,short,high
M,linen,red,long,high
M,polyester,cream,long,medium
XL,nylon,yellow,short,high
XL,nylon,violet,long,medium
M,nylon,black,long,medium
L,polyester,violet,long,medium
S,cotton,yellow,long,medium
XL,linen,navy,short,high
L,nylon,white,short,high
M,polyester,red,long,medium
M,nylon,black,short,medium
XL,polyester,orange,short,high
L,polyester,cream,long,medium
S,nylon,white,long,medium
XL,linen,white,short,medium
3XL,polyester,orange,short,medium
XS,linen,blue,short,high
L,cotton,orange,long,medium
L,linen,cream,short,high
M,nylon,yellow,long,medium
XXL,nylon,cream,long,medium
XL,linen,green,long,medium
S,polyester,red,short,high
XXL,polyester,orange,short,high
XXL,silk,blue,long,low
XL,nylon,green,long,medium
XL,linen,navy,short,high
XL,nylon,navy,long,medium
XL,linen,white,long,medium
XL,cotton,red,short,high
L,cotton,white,short,high
L,cotton,green,short,high
S,cotton,navy,long,high
M,cotton,navy,long,medium
XL,cotton,white,long,medium
L,nylon,orange,long,medium
M,polyester,white,short,medium
M,linen,green,short,high
3XL,cotton,cream,long,low
3XL,nylon,black,short,medium
XL,silk,navy,short,low
M,polyester,green,long,medium
XXL,cotton,blue,long,low
M,nylon,black,short,medium
L,polyester,cream,short,high
S,polyester,orange,long,high
XL,polyester,white,short,low
M,polyester,blue,short,high
L,nylon,white,short,high
L,cotton,yellow,short,high
XL,linen,white,long,medium
L,nylon,orange,long,medium
XL,polyester,yellow,long,medium
L,nylon,navy,short,high
XL,cotton,black,long,medium
L,polyester,yellow,short,high
XL,cotton,orange,short,high
XL,nylon,black,short,medium
XXL,cotton,red,long,low
XS,cotton,green,long,medium
XS,silk,violet,short,low
XXL,polyester,orange,long,low
S,nylon,red,long,high
XXL,cotton,cream,long,medium
XL,polyester,blue,long,medium
XXL,polyester,black,short,medium
M,polyester,white,short,medium
XL,cotton,black,short,medium
XL,silk,navy,short,low
S,polyester,red,long,high
M,nylon,violet,long,medium
XL,nylon,black,short,medium
L,cotton,yellow,short,high
XXL,cotton,white,long,medium
L,polyester,blue,short,high
M,polyester,blue,short,high
XL,nylon,yellow,long,medium
L,cotton,white,long,high
XS,linen,red,long,high
L,polyester,yellow,short,high
M,polyester,cream,long,medium
S,polyester,navy,short,high
L,nylon,red,long,medium
XL,silk,red,long,low
M,nylon,white,long,medium
XL,linen,violet,short,high
S,linen,green,long,high
3XL,nylon,white,short,low
XL,polyester,cream,short,high
XXL,polyester,violet,short,high
XXL,polyester,blue,short,high
M,nylon,violet,short,high
XL,cotton,navy,long,medium
XXL,polyester,white,short,low
XL,linen,blue,short,high
M,polyester,green,short,high
S,nylon,white,short,medium
M,linen,black,long,medium
XXL,polyester,yellow,long,low
XL,nylon,black,short,medium
XXL,polyester,red,short,high
XXL,silk,black,long,low
3XL,nylon,white,long,low
L,cotton,blue,long,medium
XL,cotton,black,long,medium
M,polyester,cream,long,medium
S,nylon,red,short,high
M,polyester,black,short,medium
L,nylon,red,long,medium
3XL,polyester,black,short,medium
M,polyester,yellow,long,medium
XS,linen,black,short,low
S,polyester,yellow,short,high
M,nylon,yellow,long,medium
M,cotton,orange,short,high
M,polyester,navy,long,medium
XL,linen,yellow,short,high
M,cotton,orange,long,low
M,nylon,blue,long,medium
XXL,cotton,cream,short,high
XS,linen,red,long,high
M,cotton,violet,short,high
M,linen,red,short,high
S,silk,navy,short,medium
L,polyester,navy,short,high
L,polyester,violet,long,medium
M,cotton,orange,long,low
XL,polyester,orange,long,medium
L,polyester,cream,short,high
3XL,cotton,white,short,medium
L,linen,violet,long,high
M,nylon,orange,long,medium
L,polyester,cream,long,medium
L,nylon,green,short,high
XL,polyester,violet,long,medium
XL,silk,blue,short,low
M,nylon,black,short,medium
M,linen,white,long,high
L,cotton,orange,short,high
M,polyester,cream,long,medium
3XL,polyester,cream,short,high
L,nylon,cream,long,medium
XL,polyester,navy,short,high
3XL,nylon,black,short,medium
XXL,polyester,black,short,medium
S,linen,yellow,short,high
M,cotton,cream,short,high
XL,linen,yellow,short,high
M,cotton,white,short,high
L,silk,violet,long,low
XL,polyester,black,long,medium
XL,linen,white,short,medium
S,polyester,blue,long,high
XL,nylon,red,short,high
L,linen,white,long,high
XL,linen,cream,long,high
XXL,linen,navy,long,medium
XS,nylon,green,short,high
XL,polyester,cream,short,high
XXL,cotton,white,long,medium
L,cotton,orange,long,medium
S,polyester,navy,short,high
M,cotton,yellow,short,high
XL,linen,cream,long,high
L,cotton,violet,long,medium
XL,nylon,orange,short,high
XL,polyester,violet,long,medium
XS,polyester,violet,long,medium
M,nylon,red,short,high
XL,nylon,green,long,medium
XXL,nylon,violet,short,high
XL,polyester,yellow,long,medium
XXL,silk,yellow,short,low
M,nylon,red,long,medium
L,nylon,white,long,high
XS,polyester,violet,long,medium
S,cotton,orange,long,medium
L,polyester,navy,short,high
XL,silk,cream,long,low
XL,cotton,cream,short,high
L,cotton,blue,long,medium
XL,nylon,violet,short,high
M,silk,cream,long,low
L,polyester,yellow,long,medium
M,nylon,white,short,medium
3XL,cotton,yellow,short,medium
M,nylon,violet,long,medium
L,linen,cream,short,high
3XL,cotton,cream,long,low
L,cotton,navy,long,medium
S,linen,green,short,high
XL,linen,yellow,short,high
3XL,nylon,navy,long,medium
XL,polyester,violet,short,high
XXL,polyester,cream,short,high
XXL,linen,green,short,high
XL,polyester,navy,long,medium
XS,nylon,red,short,high
M,nylon,black,short,medium
XL,nylon,white,short,low
L,nylon,blue,long,medium
S,cotton,black,long,medium
XL,linen,black,long,medium
XS,polyester,navy,short,high
M,silk,red,short,low
L,polyester,black,short,medium
S,cotton,white,short,high
XL,nylon,black,long,medium
L,polyester,cream,long,medium
M,linen,black,long,medium
M,nylon,white,long,medium
L,nylon,white,long,high
M,cotton,navy,short,high
XS,polyester,black,short,medium
M,linen,black,long,medium
M,nylon,black,long,medium
XXL,nylon,red,short,high
S,polyester,navy,short,high
3XL,polyester,navy,long,medium
3XL,nylon,cream,long,medium
